Issue Type,Summary,Description,Epic Name,Epic Link,Sprint,Story Points,Components,Labels
Epic,"Epic 1: Course Foundation: Repos, Standards, and Trunk-Based Workflow","Course foundation: standards, workflow, protections, docs.","Epic 1: Course Foundation: Repos, Standards, and Trunk-Based Workflow",,Sprint 1,,,dev,course
Epic,"Epic 2: Terraform Bootstrap: Remote State + IAM + GitHub OIDC","Remote state + OIDC auth for pipelines.","Epic 2: Terraform Bootstrap: Remote State + IAM + GitHub OIDC",,Sprint 5,,,terraform,course
Epic,"Epic 4: EKS Cluster Baseline: Managed Node Groups + Autoscaling + Required Add-ons","EKS baseline provisioning + add-ons.","Epic 4: EKS Cluster Baseline: Managed Node Groups + Autoscaling + Required Add-ons",,Sprint 5,,,k8s,course
Epic,"Epic 5: Gateway API + Domain: ALB + TLS","Gateway API routing + TLS/HTTPS.","Epic 5: Gateway API + Domain: ALB + TLS",,Sprint 6,,,k8s,course
Epic,"Epic 6: ArgoCD Production Bootstrap + App-of-Apps (Separate GitOps Repo)","GitOps-driven deployments with ArgoCD + App-of-Apps; dev auto-sync and controlled prod promotion.","Epic 6: ArgoCD Production Bootstrap + App-of-Apps (Separate GitOps Repo)",,Sprint 4,,,gitops,course
Epic,"Epic 7: Observability: Prometheus + Grafana (+ Loki optional)","Metrics and dashboards that work for real.","Epic 7: Observability: Prometheus + Grafana (+ Loki optional)",,Sprint 6,,,ops,course
Epic,"Epic 8: Walking Skeleton App: Services + UI","App layer: microservices + React UI + Node host.","Epic 8: Walking Skeleton App: Services + UI",,Sprint 3,,,app,course
Epic,"Epic 9: CI/CD","Per-service CI and staged CD to EKS.","Epic 9: CI/CD",,Sprint 5,,,cicd,course
Epic,"Epic 10: Automation: One-command Up/Down","Optional automation for platform bring-up/tear-down.","Epic 10: Automation: One-command Up/Down",,Sprint 6,,,ops,course

Story,"ST-1 Local runbook + demo script","AC: one command start/stop; repeatable journey demo; evidence checklist.",,"Epic 1: Course Foundation: Repos, Standards, and Trunk-Based Workflow",Sprint 1,5,docs,"course,sprint-1"
